UFSigla;gtap;elasticities
DF;5.0;-0.9568831121499688
DF;6.0;21.912334609307912
DF;7.0;-16.87790034094932
DF;8.0;4.840683263368504
DF;9.0;-4.875757816671268
DF;10.0;-0.1181196776959581
DF;11.0;-13.23543582051073
DF;12.0;-0.5848299888269919
DF;13.0;2.567442037219057
DF;14.0;1.5584569595511653
DF;15.0;0.12577571289581174
DF;18.0;0.1716784773927813
DF;19.0;6.987570415454591
DF;20.0;0.717796795693328
DF;21.0;8.86253908957272
DF;22.0;-0.30380311309263064
DF;23.0;10.868801840838065
DF;24.0;-0.4040651372955102
DF;25.0;0.7299443440005451
DF;26.0;2.286864722145689
DF;27.0;2.3167862958094627
DF;28.0;1.1560155323730594
DF;29.0;4.626915965071148
DF;30.0;3.587241250458151
DF;31.0;-1.934983285863776
DF;32.0;1.4709646210281107
DF;33.0;1.742530076096168
DF;34.0;1.742011844670138
DF;35.0;-3.4395635311558133
DF;36.0;-1.5568483618884787
DF;37.0;2.9025527857822118
DF;38.0;1.5528228420493928
DF;39.0;-0.17716329799125496
DF;40.0;4.19519914520186
DF;41.0;0.6736936929175048
DF;42.0;0.9900952309474444
DF;43.0;1.1483567176482268
DF;44.0;-0.633539334784359
DF;45.0;1.0545311695349326
DF;46.0;0.8583007434781837
DF;47.0;0.8020262449725308
DF;48.0;0.9245896867838059
DF;49.0;-3.1512809968441493
DF;50.0;1.0911522492592738
DF;51.0;0.4839624860509524
DF;52.0;1.995197255390874
DF;53.0;1.7306503290356137
DF;54.0;0.7941127548594711
DF;55.0;0.7469841333976994
DF;56.0;1.1311184810538748
DF;57.0;1.1142493344059963
ES;1.0;-4.755941800048575
ES;2.0;0.23249545585384485
ES;3.0;2.5231287833274934
ES;4.0;-0.7261903232181197
ES;5.0;0.06893480444071365
ES;6.0;13.623522965208792
ES;7.0;0.8919776692317907
ES;8.0;0.24460094539409738
ES;9.0;-0.5080940478486298
ES;10.0;0.6650336340393608
ES;11.0;1.5495288086024743
ES;12.0;-3.3284238608889387
ES;13.0;-0.7130453293557029
ES;14.0;0.9072142601830677
ES;15.0;-25.647408990718112
ES;16.0;1.589656752882611
ES;18.0;-0.6555862454950159
ES;19.0;0.7221726389370957
ES;20.0;3.6117901972753543
ES;21.0;9.566659458899197
ES;22.0;1.1281214077966748
ES;23.0;-0.8135409186184737
ES;24.0;1.223179831593832
ES;25.0;0.8000124934376158
ES;26.0;3.7390944432821382
ES;27.0;2.9670419838502946
ES;28.0;0.08553049311329453
ES;29.0;2.355733801237168
ES;30.0;1.6016251605521212
ES;31.0;-3.7553347982517877
ES;32.0;0.546570672436582
ES;33.0;1.7742228621492693
ES;34.0;0.7602928051062428
ES;35.0;0.046551469814756885
ES;36.0;-10.007805496517015
ES;37.0;1.0424948309032267
ES;38.0;0.9450245241770032
ES;39.0;3.733658087286104
ES;40.0;6.140016494605387
ES;41.0;0.3059468228901192
ES;42.0;0.7292057447626643
ES;43.0;0.19554293156412683
ES;44.0;4.281112976689146
ES;45.0;1.3825517245312788
ES;46.0;0.45312057526127525
ES;47.0;0.7845818695682887
ES;48.0;0.8858959754964069
ES;49.0;0.8268168960199818
ES;50.0;0.9330268069457297
ES;51.0;1.3273750976468115
ES;52.0;0.8186391183462121
ES;53.0;1.9958887669478003
ES;54.0;1.1904616560756214
ES;55.0;1.2494649612737216
ES;56.0;0.8912774254788118
ES;57.0;1.172311277295484
GO;1.0;-7.945782857428853
GO;2.0;0.9060493401517782
GO;3.0;-0.8920013122397563
GO;4.0;1.8568571912089311
GO;5.0;0.36789065274156485
GO;6.0;-3.0023739032403114
GO;7.0;1.3249118499219676
GO;8.0;4.4741174804035495
GO;9.0;1.9027786123700707
GO;10.0;2.4747207234599102
GO;11.0;5.480814032838566
GO;12.0;-0.6749404150386749
GO;13.0;1.6548929022314365
GO;14.0;0.15297205051822615
GO;15.0;-4.358815075932654
GO;16.0;-1.2699950585918316
GO;18.0;1.3969752475456403
GO;19.0;1.6204547148969937
GO;20.0;1.7517799449035252
GO;21.0;1.5061441908221909
GO;22.0;0.7007976213160152
GO;23.0;2.30548281103367
GO;24.0;2.3319479038307396
GO;25.0;1.288652317832268
GO;26.0;1.9066654261326859
GO;27.0;1.0472230865279384
GO;28.0;1.648555859265656
GO;29.0;2.6775324599829924
GO;30.0;4.701399997023591
GO;31.0;5.37881570780965
GO;32.0;1.5663974766366398
GO;33.0;1.2361330951109721
GO;34.0;1.1307731146715732
GO;35.0;-0.6723667321659086
GO;36.0;3.3410925504342277
GO;37.0;1.4320942055856003
GO;38.0;2.6180149558968706
GO;39.0;0.9845591497264801
GO;40.0;2.9022921120672596
GO;41.0;2.186993883775986
GO;42.0;2.1301338211251863
GO;43.0;-1.9393853420750986
GO;44.0;-0.7977853749764332
GO;45.0;2.2074267860028627
GO;46.0;1.1435077399278741
GO;47.0;1.2332990284448258
GO;48.0;1.1659498442268248
GO;49.0;-0.5184855816750789
GO;50.0;1.1736709329240433
GO;51.0;0.30708297930435435
GO;52.0;1.4820474446199547
GO;53.0;2.3106869893508115
GO;54.0;1.4889538791498715
GO;55.0;1.0874967691109276
GO;56.0;1.6267684153421698
GO;57.0;1.4807528559023933
MA;1.0;3.135085321571623
MA;2.0;0.236060563498064
MA;3.0;3.653075477080492
MA;4.0;3.2271117304216546
MA;5.0;-7.055587342596768
MA;6.0;0.4670425338046016
MA;7.0;26.187689960023377
MA;8.0;11.681732523671485
MA;9.0;1.40013086276727
MA;10.0;1.915448821650486
MA;11.0;0.6427162124608685
MA;12.0;0.3678736112471901
MA;13.0;1.7772806561426036
MA;14.0;-4.676898973866759
MA;15.0;-8.466043054689653
MA;16.0;0.10773087523530123
MA;18.0;1.6695369890594165
MA;19.0;1.622704631560806
MA;20.0;7.431988774442363
MA;21.0;0.1256887583113233
MA;22.0;1.6831655610491563
MA;23.0;5.2855200801632165
MA;24.0;-7.494379630813146
MA;25.0;1.7280426154151671
MA;26.0;1.0350972773991707
MA;27.0;0.3924263554919065
MA;28.0;1.4081350158598376
MA;29.0;3.152016975379058
MA;30.0;0.2618431780195216
MA;31.0;1.6518082121113977
MA;32.0;1.7202544521720924
MA;33.0;4.07659915572636
MA;34.0;2.634446048441582
MA;35.0;-1.2200790939505541
MA;36.0;3.1884966005004607
MA;37.0;0.8971223789034859
MA;38.0;0.49369110722935083
MA;39.0;4.061697747620631
MA;40.0;5.1419761636425685
MA;41.0;3.748507794757505
MA;42.0;1.8763978870506843
MA;43.0;0.6730387670975801
MA;44.0;2.3504675466032543
MA;45.0;1.1234274951074639
MA;46.0;1.3535698040722073
MA;47.0;1.6107979954443312
MA;48.0;1.1691216071171944
MA;49.0;0.8375716965452789
MA;50.0;0.08818688221343418
MA;51.0;1.4093909231003572
MA;52.0;1.1206804192542847
MA;53.0;1.4044741114356611
MA;54.0;1.7684200738640463
MA;55.0;1.664467570375571
MA;56.0;1.4034638827600645
MA;57.0;2.673245301103019
MG;1.0;8.167016386446946
MG;2.0;-17.78936932644418
MG;3.0;0.3757283822892248
MG;4.0;1.3201107958946636
MG;5.0;1.361368315035925
MG;6.0;8.086657657268717
MG;7.0;-1.5370462948887251
MG;8.0;-1.2066908255078488
MG;9.0;0.09951444276896382
MG;10.0;0.8039493320944899
MG;11.0;0.7360484005506578
MG;12.0;1.605785316698043
MG;13.0;1.288194636670041
MG;14.0;-1.1584156733026703
MG;15.0;18.203207178670144
MG;16.0;10.754212812049158
MG;18.0;0.18430938558364574
MG;19.0;1.3442906284820086
MG;20.0;1.257402792401919
MG;21.0;0.031674800227293076
MG;22.0;0.6706361684579729
MG;23.0;-0.33996200155084466
MG;24.0;0.9879358375018725
MG;25.0;0.8987342746749682
MG;26.0;1.3295177778163572
MG;27.0;1.6704717920979952
MG;28.0;0.7788809469135671
MG;29.0;1.7016639478548914
MG;30.0;2.805854846383884
MG;31.0;1.4945381961856938
MG;32.0;1.856956460171375
MG;33.0;2.0353814641875125
MG;34.0;1.2543239072537968
MG;35.0;0.9024277476403473
MG;36.0;1.6932360401331294
MG;37.0;0.8698629291971365
MG;38.0;1.644395657321624
MG;39.0;1.7819743866201643
MG;40.0;1.1082018521119554
MG;41.0;0.8351733945913242
MG;42.0;0.9780469360889885
MG;43.0;-1.3332510188975206
MG;44.0;2.5429667576788058
MG;45.0;1.2898249416891332
MG;46.0;0.6978813515283377
MG;47.0;0.9524957734457153
MG;48.0;0.8811282604258519
MG;49.0;0.11067240842280235
MG;50.0;1.9002307683331123
MG;51.0;0.21218800803596238
MG;52.0;1.264001763599552
MG;53.0;0.8318316087826343
MG;54.0;1.0855627169715891
MG;55.0;0.847589740253504
MG;56.0;0.7465647767948056
MG;57.0;1.218297363190639
MS;1.0;-0.9524158674526859
MS;2.0;-3.5918985986429277
MS;3.0;6.107910991558043
MS;4.0;0.70900239887834
MS;5.0;4.132825368393091
MS;6.0;0.0001675074893796591
MS;7.0;4.177501014961887
MS;8.0;-3.348796729816968
MS;9.0;0.0032947482601457523
MS;10.0;0.8975253889921788
MS;11.0;7.222480010457275
MS;12.0;2.824104638965945
MS;13.0;2.5551172779100217
MS;14.0;0.8904829431541579
MS;15.0;-0.8780830726937392
MS;16.0;-36.36768348673391
MS;18.0;1.2823495221574177
MS;19.0;0.5436570161452732
MS;20.0;1.2500782742056096
MS;21.0;1.5154703913231398
MS;22.0;0.6858363440717987
MS;23.0;0.7267756166338444
MS;24.0;4.233316687015103
MS;25.0;2.279143064800266
MS;26.0;1.9482201503980905
MS;27.0;0.6877572628116795
MS;28.0;2.866005951815719
MS;29.0;3.4539237932543685
MS;30.0;2.168179841718281
MS;31.0;11.81359587517294
MS;32.0;3.438116797854793
MS;33.0;6.538159210560464
MS;34.0;1.8251370779830491
MS;35.0;1.3103061368068172
MS;36.0;1.109687703418592
MS;37.0;1.9099336267974003
